HOST,seq_num,is_image,add_orderid,add_side,add_price,add_qty,add_position,update_orderid,update_side,update_price,update_qty,update_position,delete_orderid,delete_side,trade_orderid,trade_side,trade_qty,trade_price
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178115207569710000,BUY,0.24,150000,146,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7181677625244880000,BUY,0.26,253900,48,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184844218731620000,BUY,0.26,50000,69,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178906855941410000,BUY,0.23,30000,174,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178906855941410000,BUY,0.24,30000,150,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7183042943807210000,BUY,0.26,902000,62,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7180885976871600000,BUY,0.26,100000,54,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184844218731390000,BUY,0.265,80000,42,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7185824983103750000,BUY,0.27,150000,12,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7182073449429470000,BUY,0.26,211800,59,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184052570359510000,BUY,0.265,325700,20,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7182073449430270000,BUY,0.26,36000,61,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184448394545420000,BUY,0.265,500000,38,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7181677625244880000,BUY,0.26,341400,51,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7179302680127940000,BUY,0.25,80000,121,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184448394545420000,BUY,0.265,200000,37,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7183042943807910000,BUY,0.27,100000,8,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184844218732250000,BUY,0.265,300000,43,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7185824983103750000,BUY,0.26,150000,71,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7185824983103990000,BUY,0.27,100000,13,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7185824983103360000,BUY,0.25,20000,127,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184052570359890000,BUY,0.255,2000,94,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184052570359460000,BUY,0.26,2500,63,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7183042943808480000,BUY,0.184,6500,204,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178115207569470000,BUY,0.215,500000,196,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184844218732490000,BUY,0.24,1640500,154,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184448394545400000,BUY,0.265,36000,36,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184844218731380000,BUY,0.27,100000,6,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7181677625245040000,BUY,0.26,450000,53,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184052570359510000,BUY,0.265,251900,21,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184448394545430000,BUY,0.27,942100,1,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184052570361070000,BUY,0.265,508900,32,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178906855942000000,BUY,0.25,2500000,112,,BUY,,,,,BUY,,BUY,,
